Pays;CODE;categorie;Continent;rang;Score;population;IDH;taux_de_croissance_demographique;degre_de_liberte_de_propriete;degre_de_liberte_face.a_la_corruption;degre_de_liberte_financiere;degre_de_liberte_fiscale;degre_de_liberte_monetaire;degre_de_liberte_de_travail;culture_democratique;efficacite_et_responsabilite_gouvernementale;degre_de_liberte_civile;niveau_de_participation_politique;pluralite_et_qualite_du_processus_electoral;degre_de_liberte_de_presse;indice_de_droit_politique;degre_de_liberte_economique;niveau_de_liberte_des_invistissements;Niveau_du_taux_marginal_d.imposition;Taille_de_l.etat;Taux_marginal_d.imposition;degre_de_liberte_de_commerce;Depenses_militaires_.._du_PIB.;Exportations_d.armes_..US_constant_1990.;Importations_d.armes_..US_constant_1990.;Personnel_militaire_.._de_la_main_d.œuvre_totale.;Personnel_militaire_.total.;Niveau_d.instabilite_politique;Depenses_publiques_totales_dans_le_secteur_de_l.education_.._du_PIB.;Taux_d.inscription_aux_etudes_primaires_.taux_brut.._de_la_population.;Taux_d.inscription_aux_etudes_secondaires_.taux_brut.._de_la_population.;Taux_d.inscription_aux_etudes_tertiaires.taux_brut.._de_la_population.;Degre_d.alphabetisation_chez_les_femmes_ayant_entre_15_et_24_ans.;Degre_d.alphabetisation_chez_les_hommes_ayant_entre_15_et_24_ans_...;Utilisateurs_d.Internet_.par_100_habitants.;Nombre_de_serveurs_securises_.par_million_d.habitants.
Italie;ITA;democratie imparfaite;CONTINENT EUROPEEN;31;7.74;59539717;0.72;0.33;50;39;60;55;82;43;NA;6.43;2;6.67;9.58;11;1;58.8;4;5;3.68;45;87.1;1.63;828000000;257000000;1.43;359500;1.25;4.42;99;99;62.47;99.92;99.91;55.83;212.88
Jamaique;JAM;democratie imparfaite;CONTINENT AMERICAIN;38;7.39;2707805;0.61;-0.2;40;33;60;75.5;72.4;69.6;6.88;6.79;3;5;9.17;27.56;2;65.1;7;8;7.62;35;72.1;0.93;769694444;244870690;0.23;2830;2;NA;105;81;30.82;98.59;93.25;33.79;51.33
Japon;JPN;democratie;CONTINENT ASIATIQUE;22;NA;127561489;0.78;2.21;80;78;50;67.1;88.9;81.4;NA;8.21;2;NA;9.17;NA;1;71.6;10;5;NA;50;81.8;NA;769694444;273000000;0.4;259800;1;3.85;102;102;61.46;90.61;92.52;86.25;750.05
Jordanie;JOR;regime autoritaire;CONTINENT ASIATIQUE;117;3.76;6318000;0.54;1.43;55;47;60;93.5;81.2;75.7;3.75;3.93;5;4.44;3.17;33.5;6;69.9;6;10;7.56;14;79.6;NA;20000000;173000000;6.72;115500;3.25;4.42;98;88;46.61;99.2;99;41;29.28
Kazakhstan;KAZ;regime autoritaire;CONTINENT ASIATIQUE;138;2.95;16791425;0.5;NA;40;29;50;90.4;71.8;88.7;4.38;2.14;5;3.33;0.5;42;6;63.6;4;10;6.32;10;79.6;NA;769694444;84000000;0.78;70500;3.25;4.42;105;102;56.29;90.61;92.52;53.32;7.38
Kenya;KEN;regime hybride;CONTINENT AFRICAIN;100;4.71;43178141;0.42;1.22;30;21;50;77.7;79.1;63.3;5.63;4.29;3;4.44;3.92;24.75;4;57.5;4;8;NA;30;66.7;1.67;769694444;60000000;0.17;29100;3.25;4.42;114;67;42.31;90.61;92.52;32.1;4.17
Kirghizstan;KGZ;regime hybride;CONTINENT ASIATIQUE;102;4.69;5607200;0.5;0.86;20;20;50;93.1;71;88.9;4.38;2.21;5;5;6.58;31.75;5;60.2;6;10;6.32;10;63.2;3.21;769694444;244870690;0.78;20400;2.75;7.38;106;81;42.31;90.61;92.52;21.72;NA
Koweit;KWT;regime autoritaire;CONTINENT ASIATIQUE;115;3.78;1805200;0.69;4.35;50;45;50;99.9;71.3;63.5;4.38;3.93;5;3.89;3.17;NA;4;62.5;7;10;6.45;0;81.6;3.41;769694444;31000000;1.36;22600;NA;4.42;105;81;42.31;98.84;98.74;70.45;179.05
Laos;LAO;regime autoritaire;CONTINENT ASIATIQUE;151;2.32;3250496;0.5;1.94;15;21;20;79.8;76.9;55.7;5;3.21;6;2.22;0;89;7;50;6;7;6.32;30;58.7;0.22;769694444;19000000;3.89;129100;NA;4.42;123;47;16.73;90.61;92.52;10.75;0.9
Lesotho;LSO;democratie imparfaite;CONTINENT AFRICAIN;53;6.66;6645827;0.42;NA;40;35;40;49.1;75.5;65;5.63;5.71;3;6.67;8.25;27.56;3;46.6;2;7;6.32;30;69.1;2.23;769694444;244870690;0.23;2000;NA;4.42;111;53;10.83;90.61;92.52;4.59;77.76
Lettonie;LVA;democratie imparfaite;CONTINENT EUROPEEN;45;NA;2051545;0.5;-1.82;50;43;50;84.3;79.1;59.1;5.63;5.36;2;5.56;9.58;27.56;2;65.2;6;8;5.22;26;87.1;0.9;769694444;9000000;0.51;5310;NA;4.59;103;98;65.13;90.61;92.52;73.12;273.31
Liban;LBN;regime hybride;CONTINENT ASIATIQUE;96;NA;4424888;0.5;0.96;25;25;60;90.8;76.9;60.6;5;1.79;3;7.22;5.67;19.67;5;60.1;6;7;6.32;30;80.4;NA;769694444;31000000;4.89;80000;NA;2.19;107;74;46.26;90.61;92.52;61.25;48.59
Liberia;LBR;regime hybride;CONTINENT AFRICAIN;98;4.95;4190435;0.34;NA;30;33;20;76.6;71.8;50.6;5;0.79;4;5.56;7.83;37.75;3;48.6;6;7;6.32;30;53.8;0.01;769694444;244870690;0.14;2050;3;2.82;105;81;11.64;90.61;92.52;3.79;1.19
Libye;LBY;regime hybride;CONTINENT AFRICAIN;92;5.15;6154623;0.5;NA;10;22;20;80.2;73.6;20;6.25;5.71;7;3.89;4.33;72.5;7;35.9;6;7;6.32;30;85;3.65;769694444;73000000;0.3;7000;3.75;4.42;105;81;42.31;99.88;99.95;38.21;1.79
Lituanie;LTU;democratie imparfaite;CONTINENT EUROPEEN;41;7.24;2987773;0.5;-2.26;60;50;80;93.6;79.3;64.6;6.25;5.71;1;5.56;9.58;27.56;1;71.5;10;10;5.62;15;87.1;2.65;769694444;1000000;1.52;23350;NA;4.42;99;106;73.95;90.61;92.52;67.23;272.78
Luxembourg;LUX;democratie;CONTINENT EUROPEEN;11;8.88;530946;0.73;2.22;90;85;80;63.6;81.3;40.9;8.75;9.29;1;6.67;10;27.56;1;74.5;7;5;4.13;39;87.1;0.49;769694444;1000000;0.6;1510;2.47;4.42;97;100;19.74;90.61;92.52;91.95;1985.14
Macedoine;MKD;democratie imparfaite;CONTINENT EUROPEEN;70;6.16;2105575;0.5;0.08;35;41;60;91.2;86.1;80.3;4.38;4.64;3;NA;7.75;27.56;3;68.5;4;10;6.32;10;83.6;1.23;769694444;244870690;0.83;8000;2.88;4.42;89;83;38.46;98.49;98.8;57.45;39.42
Madagascar;MDG;regime autoritaire;CONTINENT ASIATIQUE;113;3.93;22293914;0.5;NA;40;26;50;88.3;76;50.8;5.63;2.14;4;5;2.17;22.75;6;62.4;10;9;9.29;23;73.5;0.69;769694444;244870690;0.19;21600;NA;2.73;145;38;NA;90.61;92.52;NA;0.54
Malaisie;MLY;democratie imparfaite;CONTINENT ASIATIQUE;61;6.41;29239927;0.56;1.69;50;44;50;84.5;81.6;79.3;6.25;7.86;4;5.56;NA;37.83;4;66.4;2;8;6.13;26;78.8;1.54;769694444;47000000;NA;133600;2;4.42;105;71;37.2;90.61;92.52;65.8;65.66
Malawi;MWI;democratie imparfaite;CONTINENT AFRICAIN;72;NA;15906483;0.27;2.91;45;34;50;79.3;72.6;58.2;6.25;5.71;4;5.56;7;27.67;3;56.4;7;8;7.45;30;70.9;1.17;769694444;1000000;0.09;6800;2.88;4.42;141;34;42.31;90.61;92.52;4.35;0.88
Mali;MLI;regime hybride;CONTINENT AFRICAIN;94;NA;14853572;0.17;NA;30;27;40;60.1;80.7;66.5;3.13;3.57;3;5;7.42;NA;2;55.8;4;7;6.44;30;73.2;1.44;769694444;9000000;0.15;7800;3;4.19;88;81;7.47;90.61;92.52;2.17;NA
Maroc;MAR;regime hybride;CONTINENT AFRICAIN;111;NA;32521143;0.36;1.31;40;34;60;69.7;77.9;NA;5;4.64;4;2.78;NA;29;5;60.2;8;4;6.25;44;75.7;3.55;769694444;819000000;NA;245800;3.13;6.19;116;69;42.31;90.61;92.52;55.42;3.57
Maurice;MUS;democratie;CONTINENT AFRICAIN;17;8.17;1255882;0.55;0.16;65;54;70;91.9;78.3;70.4;8.75;8.21;2;5;9.17;NA;1;77;7;10;7.89;15;87.9;0.15;769694444;244870690;0.43;2500;1.25;3.49;108;96;39.86;90.61;92.52;35.42;138.55
Mauritanie;MRT;regime hybride;CONTINENT AFRICAIN;106;4.17;3796141;0.33;2.55;25;23;40;80.5;75.5;53.2;3.13;4.29;5;5;3.42;41.33;6;53;4;7;6.32;30;69.9;2.94;769694444;11000000;1.71;20850;3.25;3.67;97;27;5.14;90.61;92.52;5.37;1.84
Mexique;MEX;democratie imparfaite;CONTINENT AMERICAIN;49;NA;120847477;0.59;1.24;50;31;60;80.7;76.5;61.3;5;7.14;3;6.67;8.33;24.75;3;65.3;6;9;7.18;30;72.9;0.59;769694444;261000000;0.62;329750;2;4.42;105;86;28.99;99.03;98.72;39.75;NA
Moldavie;MDV;democratie imparfaite;CONTINENT ASIATIQUE;64;6.32;3559519;0.5;-0.06;40;29;50;86.5;74.4;41.7;4.38;5;3;5.56;8.75;27.56;3;54.4;10;10;6.32;18;79;0.33;769694444;244870690;0.65;7750;3.13;8.35;94;88;40.11;100;100;43.37;NA
Mongolie;MNG;democratie imparfaite;CONTINENT ASIATIQUE;62;6.35;2796484;0.5;1.52;30;27;60;88.5;74.3;74.5;5;5.71;2;4.44;8.33;NA;2;61.5;8;10;6.32;10;79.8;0.93;769694444;60000000;1.35;17200;2.25;4.42;117;81;58.77;90.61;92.52;NA;19.31
Montenegro;MNE;democratie imparfaite;CONTINENT EUROPEEN;74;NA;25203395;0.5;2.53;40;37;50;91.3;81.2;86.1;4.38;5.36;2;5.56;7.92;27.56;3;62.5;4;10;6.32;14;83.6;1.95;769694444;244870690;1.29;343;2;4.42;105;81;42.31;90.61;92.52;38.21;77.76
Mozambique;MOZ;regime hybride;CONTINENT AFRICAIN;99;4.88;52797319;0.5;0.8;30;27;50;77.1;74.8;39.7;5.63;4.29;3;5.56;4.83;NA;4;57.1;0;7;6.32;32;81.1;0.93;769694444;0;0.1;11200;NA;NA;105;26;5.15;90.61;92.52;4.85;1.51
Namibie;NAM;democratie imparfaite;CONTINENT AFRICAIN;69;6.24;27474377;0.5;1.15;30;44;40;65.7;74.4;85;5.63;5;2;6.67;5.67;8;2;61.9;4;6;NA;37;86.5;3.17;769694444;57000000;1.81;15200;2;4.42;109;81;42.31;90.61;92.52;12.94;19.92
Nepal;NPL;regime hybride;CONTINENT ASIATIQUE;107;4.16;5991733;0.24;1.41;30;22;30;86;74.9;45.4;4.38;4.29;4;3.89;2.67;63;4;50.2;7;7;NA;30;61.5;1.43;769694444;244870690;NA;157750;3.25;4.42;139;66;42.31;90.61;92.52;11.15;2.48
Nicaragua;NIC;regime hybride;CONTINENT AMERICAIN;89;5.56;17157042;0.46;3.81;15;25;50;77.1;74;63.4;5.63;4.36;4;3.89;6.58;27.56;4;57.9;7;8;8.45;30;84.9;0.67;769694444;244870690;0.48;12000;3.25;4.42;105;81;42.31;90.61;92.52;NA;10.35
Niger;NER;regime hybride;CONTINENT AFRICAIN;108;4.16;168833776;0.18;2.77;30;26;40;76.9;86.4;40.8;4.38;1.14;4;2.78;NA;NA;5;54.3;4;7;5.56;30;71.7;NA;769694444;244870690;0.19;10700;2.75;4.54;71;16;1.75;NA;34.53;1.41;0.29
Nigeria;NGA;regime autoritaire;CONTINENT AFRICAIN;116;3.77;5018573;0.5;NA;30;24;40;84.3;72;80.6;3.13;3.21;4;3.33;5.67;NA;4;56.3;2;9;5.47;25;63.9;0.5;769694444;4000000;0.31;162000;3.25;4.42;105;81;42.31;90.61;92.52;32.8;1.74
Norvege;NOR;democratie;CONTINENT EUROPEEN;1;9.93;4408100;0.8;0.76;90;86;60;52.5;75.1;46.3;10;9.64;1;10;10;0.5;1;68.8;10;7;5.55;40;89.3;NA;158000000;167000000;0.96;25800;1;4.42;99;111;74.1;90.61;92.52;94.65;NA
Nouvelle-Zelande;NZL;democratie;CONTINENT OCEANIEN;5;9.26;3314001;0.8;7.62;95;93;80;71.6;85.2;89.9;8.13;9.29;1;8.89;10;27.56;1;82.1;8;5;5.94;36;86.8;NA;75000000;25000000;0.36;8550;1;7.35;99;120;79.78;90.61;92.52;82;1474.33
Oman;OMN;regime autoritaire;CONTINENT ASIATIQUE;130;3.26;36345860;0.5;3.36;50;53;60;98.4;72.1;85.1;4.38;3.93;5;3.89;0;27.56;6;67.9;0;10;5.35;0;83.7;16.16;769694444;120000000;2.95;47000;3.25;4.42;109;94;42.31;90.61;92.52;60;56.13
Ouzbekistan;UZB;regime autoritaire;CONTINENT ASIATIQUE;156;1.72;179160111;0.5;1.73;15;16;10;94.4;64.2;60.1;4.38;0.79;7;2.78;0.08;45;7;45.8;6;7;6.32;30;66.1;1.95;769694444;244870690;0.52;68000;4;4.42;105;81;42.31;99.99;99.89;36.52;0.67
Pakistan;PAK;regime hybride;CONTINENT ASIATIQUE;104;4.57;3802281;0.36;1.68;30;23;40;80.6;66.3;47.8;4.38;5.36;5;2.22;5.58;44.67;4;54.7;6;10;8.68;20;66;3.48;769694444;973000000;1.49;947800;3.25;2.14;93;37;9.53;90.61;92.52;9.96;1.27
Panama;PAN;democratie imparfaite;CONTINENT AMERICAIN;44;NA;7167010;0.63;2.22;40;36;70;84.6;77.8;41.5;5;6.43;2;5.56;9.58;NA;1;65.2;8;8;NA;27;74.8;1.95;769694444;65000000;0.68;12000;2;4.42;100;84;43.46;90.61;92.52;40.3;133.87
Papouasie-Nouvelle-G.;PNG;democratie imparfaite;CONTINENT ASIATIQUE;65;6.32;6687361;0.31;1.74;20;21;30;68.3;73.2;74;6.25;6.43;3;3.33;7.33;27.56;4;53.8;8;5;7.34;42;84.8;0.72;769694444;244870690;0.06;1900;3;4.42;114;40;42.31;75.82;66.83;NA;7.26
Paraguay;PRY;democratie imparfaite;CONTINENT AMERICAIN;67;6.26;16754962;0.54;0.47;30;22;60;96.9;81.4;NA;4.38;5.36;3;5;8.33;NA;3;61.8;6;10;8.27;8;82.7;1.38;769694444;7000000;0.81;25450;2.75;4.96;96;75;42.31;90.61;92.52;29.34;10.92
Pays-Bas;NLD;democratie;CONTINENT EUROPEEN;10;8.99;29987800;0.79;NA;90;88;80;51.2;83.6;60;8.13;8.93;1;8.89;9.58;0.5;1;73.3;7;3;3.36;52;87.1;1.26;783000000;376000000;0.48;43300;1;5.51;106;130;77.34;90.61;92.52;92.86;2805.86
Perou;PER;democratie imparfaite;CONTINENT AMERICAIN;59;6.47;96706764;0.57;1.71;40;35;60;79.7;85.5;68.5;4.38;5;3;5.56;9.17;NA;2;68.7;7;8;7.53;30;85;1.23;769694444;9000000;1.19;192000;2.38;2.92;100;90;42.31;98.68;98.72;38.2;21.68
Philippines;PHL;democratie imparfaite;CONTINENT ASIATIQUE;66;NA;38063164;0.55;0.05;30;24;50;79.1;77.1;51.7;3.13;5.36;3;5.56;8.33;29;3;57.1;8;7;8.31;32;75.5;1.16;769694444;16000000;0.4;165500;2.75;4.42;105;81;31.48;90.61;92.52;36.24;8.62
Pologne;POL;democratie imparfaite;CONTINENT EUROPEEN;43;NA;10514844;0.5;-0.15;60;53;60;74.4;79.1;61.3;4.38;6.43;1;NA;9.58;7.75;1;64.2;10;7;6.35;32;87.1;1.81;13000000;207000000;0.94;172700;1.25;4.42;101;98;73.19;100;100;62.31;303.39
Portugal;PRT;democratie imparfaite;CONTINENT EUROPEEN;26;7.92;2050514;0.64;8.81;70;60;60;59;82.6;32.5;NA;6.43;1;6.67;9.58;NA;1;63;10;5;5.52;47;87.1;1.91;0;54000000;1.65;90300;NA;4.42;106;113;68.86;90.61;92.52;60.34;241.18
Qatar;GAT;regime autoritaire;CONTINENT ASIATIQUE;133;3.18;20058035;0.7;-0.49;70;77;50;99.7;77.1;67.9;5.63;3.93;5;2.22;0;27.56;6;71.3;6;10;6.32;0;82.5;1.95;769694444;319000000;0.77;11800;1.75;4.42;105;81;12.15;99.83;98.69;69.3;140.94
Roumanie;ROU;democratie imparfaite;CONTINENT EUROPEEN;57;6.54;63700300;0.5;0.78;40;37;50;87.4;74.3;62.6;4.38;NA;2;4.44;9.58;13.25;2;64.4;10;10;NA;16;87.1;1.38;108000000;21000000;1.58;151300;2.47;2.99;94;95;42.31;90.61;92.52;45.88;70.79
Russie;RUS;regime autoritaire;CONTINENT EUROPEEN;118;3.74;11457801;0.5;NA;25;21;40;82.5;66.3;63.5;NA;2.86;5;5;3.92;48;6;50.5;10;10;6.75;13;68.2;NA;8402000000;98000000;1.77;1364000;2.75;4.42;101;95;76.14;90.61;92.52;63.8;39.04
Rwanda;RWA;regime autoritaire;CONTINENT AFRICAIN;127;3.36;6297394;0.28;0.61;35;40;40;77.2;75.2;91.4;5;4.64;5;2.22;0.83;37.5;6;64.9;0;7;5.57;30;78;NA;769694444;5000000;0.63;35000;2.75;4.75;134;32;NA;90.61;92.52;NA;NA
Salvador;SLV;democratie imparfaite;CONTINENT AMERICAIN;60;6.47;13726021;0.47;2.89;40;36;70;85.5;82.1;65.3;5;NA;3;3.89;9.17;8.75;2;68.7;8;8;8.58;30;79;1.15;769694444;2000000;1.19;32300;1.75;4.42;113;69;25.45;90.61;92.52;20.32;20.64
Senegal;SEN;democratie imparfaite;CONTINENT AFRICAIN;71;NA;5978727;0.32;1.95;40;29;40;65.4;81.6;43.5;5.63;5.71;3;4.44;7.92;14;3;55.4;4;0;NA;61;72.2;NA;769694444;244870690;0.31;18600;3;4.42;84;81;42.31;90.61;92.52;NA;NA
Serbie;SRB;democratie imparfaite;CONTINENT EUROPEEN;63;6.33;5312400;0.5;NA;40;35;50;84.1;68;68.7;4.38;4.64;2;NA;9.17;20.75;2;58;6;7;6.32;30;77.9;1.95;769694444;244870690;1.29;343;2.88;4.42;105;81;42.31;90.61;92.52;38.21;77.76
Sierra Leone;SLE;regime hybride;CONTINENT AFRICAIN;101;4.71;5407579;0.25;0.13;10;24;20;80.9;70.1;42;6.25;2.21;3;2.78;7;NA;3;49.1;2;7;6.68;30;62.8;0.73;769694444;0;0.45;10500;3;NA;131;51;42.31;53.82;71.64;NA;0.67
Singapour;SGP;regime hybride;CONTINENT ASIATIQUE;79;5.88;2057159;0.5;0.21;90;93;70;91.3;84.8;92.1;6.88;NA;4;3.33;4.33;27.56;5;87.5;7;10;NA;20;90;3.16;76000000;828000000;4.88;147600;1;3.13;105;81;42.31;99.84;99.85;72;635.31
Slovaquie;SVK;democratie imparfaite;CONTINENT EUROPEEN;39;7.35;10195134;0.5;2.78;50;43;70;84.2;83.5;58.1;5;NA;1;5.56;9.58;27.56;1;67;10;10;6.29;19;87.1;NA;4000000;244870690;0.58;15850;1;3.94;102;94;55.11;90.61;92.52;76.71;226.35
Slovenie;SVN;democratie imparfaite;CONTINENT EUROPEEN;28;7.88;37195349;0.5;2.16;60;64;50;64.8;81.2;42.2;6.25;NA;1;7.22;9.58;4;1;62.9;8;4;4.54;41;87.1;1.17;769694444;244870690;1.33;13550;1;4.42;99;98;86.02;99.9;99.81;68.35;557.08
Soudan;SDN;regime autoritaire;CONTINENT AFRICAIN;149;2.38;10837527;0.26;4.33;43;40;50;76.4;74.1;60.2;5;1.79;7;3.33;0;36;7;59.6;6;7;6.32;30;75.5;1.95;769694444;115000000;2.27;264300;3.88;4.42;70;41;15.14;85.46;90.31;21;0.06
Sri Lanka;LKA;regime hybride;CONTINENT ASIATIQUE;86;5.75;20328000;0.54;NA;40;32;40;73.5;68.5;62.1;6.88;5.36;4;4.44;6.17;15.75;5;58.3;7;7;NA;35;77.1;2.46;769694444;244870690;2.67;223100;2.13;1.72;98;99;16.97;90.61;92.52;18.29;7.67
Suede;SWE;democratie;CONTINENT EUROPEEN;2;9.73;9519374;0.78;0.76;90;92;80;39.1;80.9;54.6;10;9.64;1;9.44;9.58;NA;1;71.7;8;2;NA;59;87.1;1.15;488000000;206000000;0.32;16100;1;4.42;102;98;70.03;90.61;92.52;93.18;1511.44
Suisse;AUT;democratie;CONTINENT EUROPEEN;7;NA;7996861;0.81;NA;90;87;80;67.9;84.4;87.9;9.38;9.29;1;7.78;9.58;4.25;1;81.1;10;9;6.79;42;90;0.69;250000000;9000000;0.49;22650;1;NA;103;96;55.56;90.61;92.52;85.2;2282.27
Suriname;SUR;democratie imparfaite;CONTINENT AMERICAIN;54;6.65;534541;0.5;0.91;40;37;30;63.2;74.5;81.2;5;6.43;2;4.44;9.17;27.56;2;52.6;6;7;6.32;30;66.3;1.95;769694444;244870690;0.88;1840;2.47;4.42;105;81;42.31;90.61;92.52;34.68;37.42
Swaziland;SWZ;regime autoritaire;CONTINENT AFRICAIN;132;NA;1230985;0.5;1.58;40;32;40;67.2;74.5;70.8;5.63;2.86;5;2.78;0.92;29;7;57.2;6;7;6.32;30;69.7;2.46;769694444;244870690;1.29;343;3.13;4.42;114;61;42.31;90.61;92.52;20.78;NA
Syrie;SYR;regime autoritaire;CONTINENT ASIATIQUE;159;1.63;22399254;0.5;1.97;30;25;20;84.4;70.9;50;5;0.36;6;2.78;0;62.83;7;51.2;2;9;4.21;22;72.8;1.95;769694444;371000000;2.82;178000;3.75;4.42;122;74;29.88;94.49;96.58;NA;0.36
Tadjikistan;TJK;regime autoritaire;CONTINENT ASIATIQUE;146;2.51;8008990;0.5;2.43;20;21;40;89;67.4;56.8;6.25;0.79;5;2.22;1.83;28.25;6;53.4;6;7;6.32;30;82.5;1;769694444;244870690;0.47;16300;3.75;NA;100;87;22.47;99.88;99.86;14.51;0.87
Taiwan;TWN;democratie imparfaite;CONTINENT ASIATIQUE;34;7.57;47783107;0.5;NA;70;58;50;80.4;83.1;46.6;5.63;7.14;2;NA;9.58;9;1;71.9;7;7;7.45;40;85;1.95;769694444;244870690;1.29;343;1.13;4.42;105;81;42.31;90.61;92.52;38.21;77.76
Tanzanie;TZA;regime hybride;CONTINENT AFRICAIN;80;5.88;12448175;0.5;NA;30;27;50;79.7;69.4;60.1;5.63;4.64;3;NA;7.42;21.25;3;57;6;8;NA;30;73.5;0.93;769694444;115000000;0.12;28400;2.25;4.42;93;35;3.92;90.61;92.52;3.95;0.75
Tchad;TCD;regime autoritaire;CONTINENT AFRICAIN;160;1.62;10510785;0.5;0.21;20;17;40;50.2;72.5;43.7;3.75;0;6;NA;0;28.75;7;44.8;6;7;7.57;30;55.6;1.95;769694444;4000000;0.76;34850;3.38;4.42;95;23;42.31;44;53.8;NA;77.76
Tcheque (Rep);CZE;democratie;CONTINENT EUROPEEN;16;8.19;66785001;0.5;0.26;70;46;80;82;81.5;77.9;8.13;7.14;1;6.67;9.58;11.25;1;69.9;7;10;3.68;15;87.1;NA;8000000;14000000;0.51;26750;1.25;4.42;100;97;64.17;90.61;92.52;73.43;518.8
Thailande;THA;democratie imparfaite;CONTINENT ASIATIQUE;56;6.55;1148958;0.49;4.94;45;35;70;75.1;69.3;79;6.25;NA;4;5.56;7.83;22.75;5;64.9;7;7;7.43;37;75.2;NA;769694444;290000000;1.15;453550;3.13;4.93;95;87;51.4;90.61;92.52;26.46;19.57
Togo;TGO;regime autoritaire;CONTINENT AFRICAIN;125;3.45;6642928;0.35;NA;30;24;30;68.6;78.3;45.2;5;0.79;4;3.33;4;NA;5;48.3;4;7;6.54;30;61.7;1.95;769694444;4000000;0.3;9300;2.47;4.67;133;81;10.31;90.61;92.52;4;3.31
Trinite-et-Tobago;TTO;democratie imparfaite;CONTINENT AMERICAIN;46;6.99;1337439;0.67;0.37;50;36;70;85.5;70.1;77.3;5;7.14;3;5;9.58;27.56;4;64.4;7;9;6.91;25;69.9;0.73;769694444;12000000;0.6;4050;2;4.42;105;81;42.31;99.59;99.57;59.52;96.45
Tunisie;TUN;regime hybride;CONTINENT AFRICAIN;88;5.67;10777500;0.45;1.19;40;43;30;74.8;76.9;74.1;6.25;5;5;6.67;5.75;67.75;7;58.6;10;7;6.97;35;58.1;1.51;769694444;244870690;1.22;47800;3.38;6.22;110;81;35.2;90.61;92.52;41.44;NA
Turkmenistan;TKM;regime autoritaire;CONTINENT ASIATIQUE;157;1.72;5172931;0.5;1.27;10;16;10;98.4;71;30;5;0.79;7;2.22;0;91.5;7;43.8;6;7;6.32;30;79.2;1.95;769694444;86000000;0.97;22000;3.75;NA;105;81;42.31;99.9;99.77;NA;0.39
Turquie;TUR;regime hybride;CONTINENT ASIATIQUE;85;5.76;73997128;0.46;1.27;50;44;60;77.7;71.9;40;5;6.79;3;5;7.92;33.5;3;62.5;7;7;6.91;35;85.4;2.26;143000000;1489000000;2.27;612800;NA;4.42;100;86;69.39;98.41;99.59;45.13;116.76
Ukraine;UKR;regime hybride;CONTINENT EUROPEEN;77;5.91;45593300;0.5;-0.36;30;24;30;78.2;67.7;51.2;4.38;4.64;3;5.56;7.92;40;3;46.1;10;10;6.62;15;84.4;2.35;1450000000;244870690;0.93;214850;2.88;6.66;106;98;79.7;99.81;99.73;35.27;23.49
Uruguay;URY;democratie;CONTINENT AMERICAIN;18;8.17;3395253;0.66;0.34;70;69;30;81.2;73.4;74;NA;8.93;1;4.44;10;6;1;69.9;4;9;6.31;25;82.9;1.76;769694444;244870690;1.47;25450;1.13;4.42;105;81;42.31;99.3;98.63;54.45;80.41
Venezuela;VEN;regime hybride;CONTINENT AMERICAIN;93;5.15;29954782;0.62;1.56;5;20;20;74.8;46.4;36;4.38;4.29;5;5.56;5.67;25;5;38.1;0;8;4.96;34;58.8;NA;769694444;680000000;0.83;115000;3;4.42;102;85;42.31;90.61;92.52;49.05;10.68
Viêt Nam;VNM;regime autoritaire;CONTINENT ASIATIQUE;140;2.89;88772900;0.5;NA;15;27;30;76.5;75.1;67.3;6.25;3.93;5;2.78;0;81.25;7;51.3;6;7;6.32;35;79.6;2.16;769694444;733000000;0.99;522000;2.75;NA;105;81;NA;90.61;92.52;39.49;NA
Yemen;YEM;regime autoritaire;CONTINENT ASIATIQUE;135;NA;23852409;0.5;2.35;30;22;30;83.1;69.3;57.3;5;1.43;5;5;3;34.75;6;55.3;6;7;6.32;30;81.5;NA;769694444;38000000;NA;137900;4;4.42;97;47;42.31;77.81;96.71;17.45;0.46
Zambie;ZMB;democratie imparfaite;CONTINENT AFRICAIN;68;6.26;14075099;0.4;NA;30;30;50;73.3;64.9;51.1;6.25;5.36;4;4.44;7.92;26.75;3;58.3;8;8;7.99;30;82.3;1.39;769694444;66000000;0.28;16500;NA;4.42;114;81;42.31;90.61;92.52;13.47;2.34
Zimbabwe;ZWE;regime autoritaire;CONTINENT AFRICAIN;143;2.67;13724317;0.37;2.13;10;24;10;65.2;0;NA;5;1.29;6;3.33;0.5;48.25;6;NA;0;5;NA;36;50.4;2.55;769694444;244870690;0.72;50800;NA;4.42;109;47;5.94;90.61;92.52;NA;2.99
